Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Roll,Pitch,YawIMU,MagX,MagY,MagZ,Lat,Lon,Alt,Speed,Course,Sats,PDOP,HDOP,VDOP
2025-06-06T17:58:39.499049,0.002,-0.017,-0.995,-2.625,-8.057,14.832,14.469,-32.498,20.863,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.518,52.85,35,0.00,0.50
2025-06-06T17:58:39.598690,-0.021,-0.021,-0.907,-2.625,-8.057,14.832,149.238,-32.108,22.170,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.518,52.85,35,0.00,0.50
2025-06-06T17:58:39.682799,-0.020,-0.807,-2.625,-8.057,14.832,149.645,-32.047,23.022,-128305380748808945664.000,0,0,0,37.862705,-122.313080,-7.0,0.518,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:39.810927,-0.073,-0.026,-0.701,-2.625,-8.057,14.832,14.474,-32.256,23.324,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.500,52.85,35,0.00,0.50
2025-06-06T17:58:39.910087,-0.080,-0.030,-0.660,-2.625,-8.057,14.832,14.469,-32.542,23.253,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.500,52.85,35,0.00,0.50
2025-06-06T17:58:39.999332,-0.054,-0.019,-0.723,-2.625,-8.057,14.832,14.458,-32.893,23.297,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.481,52.85,35,0.00,0.50
2025-06-06T17:58:40.114392,-0.025,-0.001,-0.824,-2.625,-8.057,14.832,14.491,-33.212,23.615,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.481,52.85,35,0.00,0.50
2025-06-06T17:58:40.197741,0.019,0.023,-0.904,1.587,2.075,9.216,14.469,-33.563,24.401,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.463,52.85,35,0.00,0.50
2025-06-06T17:58:40.297296,0.041,0.027,-0.951,1.831,2.563,10.437,14.474,-33.964,25.384,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.463,52.85,35,0.00,0.50
2025-06-06T17:58:40.394373,0.023,-0.953,3.174,1.953,9.888,14.469,-34.371,26.428,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.463,52.85,35,0.00,0.50,0.00
2025-06-06T17:58:40.498387,0.042,0.021,-0.919,4.089,1.160,8.789,14.469,-34.667,27.345,-128305380748808945664.000,0,0,0,37.862705,-122.313072,-7.0,0.463,52.85,35,0.00,0.50
